# Conv 5_1 Training
accuracy-1 = 0.960506
accuracy-2 = 0.870358
accuracy-3 = 0.755851
accuracy-4 = 0.668699
accuracy-5 = 0.873559
accuracy-6 = 0.954505
accuracy-7 = 0.967405
accuracy-8 = 0.933907
accuracy-9 = 0.893958
accuracy-10 = 0.984003
accuracy-11 = 0.73385
accuracy-12 = 0.900709
accuracy-13 = 0.674449
accuracy-14 = 0.912758
accuracy-15 = 0.909108
accuracy-16 = 0.769652
accuracy-17 = 0.797904
accuracy-18 = 0.789403
accuracy-19 = 0.763001
accuracy-20 = 0.851107
accuracy-21 = 0.659649
accuracy-22 = 0.884009
accuracy-23 = 0.884708
accuracy-24 = 0.955106
accuracy-25 = 0.843856
accuracy-26 = 0.977154
accuracy-27 = 0.884708
accuracy-28 = 0.868058
accuracy-29 = 0.926258
accuracy-30 = 0.913358
accuracy-31 = 0.942257
accuracy-32 = 0.827656
accuracy-33 = 0.808754
accuracy-34 = 0.911308
accuracy-35 = 0.942657
accuracy-36 = 0.956856
accuracy-37 = 0.869657
accuracy-38 = 0.926508
accuracy-39 = 0.818855
accuracy-40 = 0.934707
accuracy-41 = 0.835557
accuracy-42 = 0.883708
average = 0.8671437143
